year,state_fips,state_abbr,state_name,estimated_population,crimes_total,violent_total,property_total,homicide,forcible_rape_legacy,forcible_rape_revised,robbery,aggravated_assault,burglary,larcent_theft,motor_vehicle_theft
1960,1,AL,Alabama,3266740,39920,6097,33823,406,281,,898,4512,11626,19344,2853
1961,1,AL,Alabama,3302000,38105,5564,32541,427,252,,630,4255,11205,18801,2535
1962,1,AL,Alabama,3358000,41112,5283,35829,316,218,,754,3995,11722,21306,2801
1963,1,AL,Alabama,3347000,44636,6115,38521,340,192,,828,4755,12614,22874,3033
1964,1,AL,Alabama,3407000,53550,7260,46290,316,397,,992,5555,15898,26713,3679
1965,1,AL,Alabama,3462000,55131,6916,48215,395,367,,992,5162,16398,28115,3702
1966,1,AL,Alabama,3517000,61838,8098,53740,384,341,,1124,6249,18551,30583,4606
1967,1,AL,Alabama,3540000,65527,8448,57079,415,371,,1167,6495,20227,31682,5170
1968,1,AL,Alabama,3566000,71285,8288,62997,421,396,,1462,6009,22403,34508,6086
1969,1,AL,Alabama,3531000,75090,8842,66248,485,494,,1448,6415,23559,36644,6045
1970,1,AL,Alabama,3444165,85399,10185,75214,404,637,,1731,7413,26739,40779,7696
1971,1,AL,Alabama,3479000,86919,10835,76084,524,661,,2005,7645,27547,40841,7696
1972,1,AL,Alabama,3510000,84047,10994,73053,496,660,,2407,7431,27714,38493,6846
1973,1,AL,Alabama,3539000,91389,12390,78999,468,751,,2809,8362,31754,39206,8039
1974,1,AL,Alabama,3577000,107314,13338,93976,536,811,,3562,8429,37841,46813,9322
1975,1,AL,Alabama,3614000,125497,14201,111296,577,738,,4446,8440,42059,59470,9767
1976,1,AL,Alabama,3665000,139573,14248,125325,553,794,,3520,9381,42879,72832,9614
1977,1,AL,Alabama,3690000,136995,15293,121702,524,929,,3572,10268,41901,69442,10359
1978,1,AL,Alabama,3742000,147389,15682,131707,499,954,,3708,10521,46001,74387,11319
1979,1,AL,Alabama,3769000,159950,15578,144372,496,1037,,4127,9918,48517,83791,12064
1980,1,AL,Alabama,3861466,190511,17320,173191,509,1158,,5102,10551,58952,102029,12210
1981,1,AL,Alabama,3916000,191834,18423,173411,465,1021,,4952,11985,56811,105471,11129
1982,1,AL,Alabama,3943000,182701,17653,165048,417,1026,,4417,11793,49531,104740,10777
1983,1,AL,Alabama,3959000,162361,16471,145890,364,931,,3895,11281,42485,94279,9126
1984,1,AL,Alabama,3990000,155691,17204,138487,374,1002,,3833,11995,39970,89198,9319
1985,1,AL,Alabama,4021000,158513,18398,140115,396,1079,,4237,12686,41612,88108,10395
1986,1,AL,Alabama,4053000,173807,22616,151191,409,1150,,4523,16534,46974,93396,10821
